C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_355.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_355.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_355.jpg, 0, 0, 0, 7.841682E-05
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_458.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_458.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_458.jpg, 0, 0, 0, 7.822755E-05
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_561.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_561.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_561.jpg, 0, 0, 0, 8.007894E-05
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_665.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_665.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_665.jpg, 0, 0, 0, 7.988762E-05
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_768.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_768.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_768.jpg, 0, 0.2332146, 0, 0.1466749
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_871.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_871.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_871.jpg, -0.0866127, 0.5413504, 0, 0.6245094
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_50_971.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_50_971.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_50_971.jpg, -0.378783, 0.8335207, 0, 1.443242
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_51_073.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_51_073.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_51_073.jpg, -0.09846184, 1, 0, 2.597265
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_51_176.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_51_176.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_51_176.jpg, 0, 1, 0, 3.769602
C:\Users\bolts\Data\IMG\center_2024_06_16_18_07_51_281.jpg, C:\Users\bolts\Data\IMG\left_2024_06_16_18_07_51_281.jpg, C:\Users\bolts\Data\IMG\right_2024_06_16_18_07_51_281.jpg, 0, 1, 0, 4.938856
